fid,NDVI
"1162",0.47613996
"1163",0.58312714
"1164",0.60579473
"1165",0.59223872
"1166",0.57335055
"1167",0.54633671
"1168",0.5223223
"1169",0.53584832
"1170",0.55484134
"1171",0.5609045
"1172",0.55783236
"1173",0.55612642
"1174",0.61023062
"1175",0.60844743
"1176",0.60374755
"1177",0.58176547
"1178",0.53575462
"1179",0.4949998
"1180",0.4951351
"1181",0.5170728
"1182",0.53944051
"1183",0.55234933
"1184",0.53792
"1185",0.50810474
"1186",0.47278306
"1187",0.44813269
"1188",0.44809124
"1189",0.4707194
"1190",0.48625425
"1191",0.44614148
"1192",0.35927054
"1193",0.28983974
"1194",0.27131376
"1195",0.25860634
"1196",0.24484926
"1197",0.23517548
"1198",0.25899616
"1199",0.31415176
"1200",0.32819748
"1201",0.32490936
"1202",0.33587265
"1203",0.33972424
"1204",0.35550898
"1205",0.39464813
"1206",0.42310593
"1207",0.43513674
"1208",0.46944132
"1209",0.52804852
"1210",0.55304897
"1211",0.52107662
"1212",0.47827515
"1213",0.47519264
"1214",0.51781237
"1215",0.53946942
"1216",0.49353227
"1217",0.45169586
"1218",0.45640558
"1219",0.45250559
"1220",0.43167758
"1221",0.4017981
"1222",0.36465874
"1223",0.34396547
"1224",0.32638866
"1225",0.30567011
"1226",0.30128971
"1227",0.31326541
"1228",0.32781827
"1229",0.34675339
"1230",0.36138254
"1231",0.36117887
"1232",0.40177467
"1233",0.48183623
"1234",0.5151599
"1235",0.5150435
"1236",0.52512538
"1237",0.55209565
"1238",0.57749462
"1239",0.58830124
"1240",0.58579904
"1241",0.58138639
"1242",0.55622429
"1243",0.53638333
"1244",0.53751999
"1245",0.54147732
"1246",0.55223447
"1247",0.54586208
"1248",0.50494993
"1249",0.48419943
"1250",0.49892911
"1251",0.53427798
"1252",0.53760809
"1253",0.4909642
"1254",0.4313232
"1255",0.40136644
"1256",0.40725955
"1257",0.42978051
"1258",0.43786389
"1259",0.40158471
"1260",0.32819542
"1261",0.26131251
"1262",0.24360317
"1263",0.24594051
"1264",0.24940728
"1265",0.24642214
"1266",0.23855673
"1267",0.27036572
"1268",0.30474624
"1269",0.35138276
"1270",0.40477049
"1271",0.39071134
"1272",0.37167034
"1273",0.41242033
"1274",0.45320499
"1275",0.47885209
"1276",0.52227628
"1277",0.55849582
"1278",0.56101805
"1279",0.5406304
"1280",0.51092821
"1281",0.4955157
"1282",0.51054114
"1283",0.5360018
"1284",0.5366357
"1285",0.51054645
"1286",0.47360045
"1287",0.43344787
"1288",0.40968016
"1289",0.39534026
"1290",0.37540737
"1291",0.33645114
"1292",0.30206159
"1293",0.29470262
"1294",0.29949489
"1295",0.31170532
"1296",0.32102254
"1297",0.32981271
"1298",0.35132971
"1299",0.37967393
"1300",0.40202895
"1301",0.43814257
"1302",0.48952284
"1303",0.52058923
"1304",0.54800987
"1305",0.58851033
"1306",0.57817608
"1307",0.54934055
"1308",0.53863817
"1309",0.52769208
"1310",0.49875206
"1311",0.50310731
"1312",0.52102405
"1313",0.53156561
"1314",0.55628949
"1315",0.50509763
"1316",0.48194203
"1317",0.50552046
"1318",0.50862497
"1319",0.44500065
"1320",0.37407532
"1321",0.35118192
"1322",0.35301021
"1323",0.36054191
"1324",0.36126649
"1325",0.33776301
"1326",0.29835927
"1327",0.26583785
"1328",0.26194692
"1329",0.27250901
"1330",0.28052524
"1331",0.26919785
"1332",0.22669071
"1333",0.22471184
"1334",0.3040472
"1335",0.42077595
"1336",0.46642008
"1337",0.39281181
"1338",0.32403293
"1339",0.35303757
"1340",0.43123955
"1341",0.49643728
"1342",0.53084421
"1343",0.54757673
"1344",0.56461728
"1345",0.54718941
"1346",0.53017664
"1347",0.51059514
"1348",0.51591831
"1349",0.53887826
"1350",0.51256633
"1351",0.44737849
"1352",0.41811025
"1353",0.41883937
"1354",0.40098712
"1355",0.34211072
"1356",0.29626572
"1357",0.29420006
"1358",0.31138423
"1359",0.33863625
"1360",0.35041171
"1361",0.34769323
"1362",0.37120721
"1363",0.4184522
"1364",0.42408547
"1365",0.39929855
"1366",0.42314988
"1367",0.48914471
"1368",0.55865318
"1369",0.60833347
"1370",0.54880595
"1371",0.50778502
"1372",0.48078239
"1373",0.4774321
"1374",0.55906051
"1375",0.5089249
"1376",0.49060896
"1377",0.48488769
"1378",0.44451314
"1379",0.37686568
"1380",0.33747351
"1381",0.32174963
"1382",0.3102268
"1383",0.30268863
"1384",0.28940946
"1385",0.27696234
"1386",0.28528836
"1387",0.29542845
"1388",0.30114841
"1389",0.30613559
"1390",0.28835076
"1391",0.24270074
"1392",0.24157272
"1393",0.3589966
"1394",0.49495134
"1395",0.51228708
"1396",0.43700558
"1397",0.36196876
"1398",0.33387938
"1399",0.37618431
"1400",0.46397305
"1401",0.52733827
"1402",0.56117159
"1403",0.50598055
"1404",0.48888123
"1405",0.53820354
"1406",0.55095929
"1407",0.49804491
"1408",0.44669339
"1409",0.42190543
"1410",0.38903436
"1411",0.33016199
"1412",0.29038391
"1413",0.30090964
"1414",0.33359128
"1415",0.36342025
"1416",0.3742336
"1417",0.36861333
"1418",0.40367171
"1419",0.47017774
"1420",0.49283409
"1421",0.43984058
"1422",0.38723302
"1423",0.44970268
"1424",0.5595566
"1425",0.61486048
"1426",0.5345422
"1427",0.49815351
"1428",0.49849698
"1429",0.49614158
"1430",0.43970591
"1431",0.38154483
"1432",0.34871116
"1433",0.31143123
"1434",0.28427002
"1435",0.27578142
"1436",0.2819612
"1437",0.29896975
"1438",0.301516
"1439",0.30245078
"1440",0.30537957
"1441",0.28718364
"1442",0.26042128
"1443",0.30348194
"1444",0.43385175
"1445",0.52700859
"1446",0.53277433
"1447",0.49973106
"1448",0.4509334
"1449",0.38868687
"1450",0.35981691
"1451",0.41890928
"1452",0.52095902
"1453",0.53761065
"1454",0.4967519
"1455",0.52813387
"1456",0.48839065
"1457",0.42899656
"1458",0.3873623
"1459",0.34042242
"1460",0.29746169
"1461",0.27918175
"1462",0.2775813
"1463",0.29746503
"1464",0.33682773
"1465",0.38037443
"1466",0.44141981
"1467",0.50602812
"1468",0.54286355
"1469",0.52393037
"1470",0.44918057
"1471",0.42748415
"1472",0.51218873
"1473",0.60046721
"1474",0.62352681
"1475",0.54404098
"1476",0.50248224
"1477",0.50667322
"1478",0.53534245
"1479",0.52086115
"1480",0.47649264
"1481",0.42902124
"1482",0.36979896
"1483",0.31808293
